Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
28,AKASAKA RAIMON,4.44,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B29,"" "",""+""),""+"", SUBSTITUTE(F29,"" "",""+"")), ""Link"")","YAKINIKU (BBQ BEEF), HORUMON (BBQ OFFEL)",,17500.0,東京都港区赤坂3-9-12 メトロビル 4F,AKASAKA MITSUKE,421,https://tabelog.com/en/tokyo/A1308/A130801/13224635/,"JPY 15,000～JPY 19,999",-,17500.0,10k-20k
34,KABUTO,4.41,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B35,"" "",""+""),""+"", SUBSTITUTE(F35,"" "",""+"")), ""Link"")",UNAGI (EEL),,17500.0,東京都豊島区池袋2-53-2 池袋ESビル 1F,IKEBUKURO,1091,https://tabelog.com/en/tokyo/A1305/A130501/13016660/,"JPY 15,000～JPY 19,999",-,17500.0,10k-20k
47,EBISU YORONIKU,4.36,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B48,"" "",""+""),""+"", SUBSTITUTE(F48,"" "",""+"")), ""Link"")","YAKINIKU (BBQ BEEF), HORUMON (BBQ OFFEL)",,12500.0,東京都渋谷区恵比寿1-11-5 GEMS恵比寿 8F,EBISU,1492,https://tabelog.com/en/tokyo/A1303/A130302/13211927/,"JPY 10,000～JPY 14,999",-,12500.0,10k-20k
61,KINRYU SAN,4.32,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B62,"" "",""+""),""+"", SUBSTITUTE(F62,"" "",""+"")), ""Link"")",YAKINIKU (BBQ BEEF),,17500.0,東京都港区白金3-14-1 第１マンション　１Ｆ,SHIROKANE TAKANAWA,901,https://tabelog.com/en/tokyo/A1316/A131602/13001625/,"JPY 15,000～JPY 19,999",-,17500.0,10k-20k
73,SAN WA,4.3,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B74,"" "",""+""),""+"", SUBSTITUTE(F74,"" "",""+"")), ""Link"")","ITALIAN, STEAK, BARU (SPANISH STYLE BAR)",,17500.0,東京都港区白金台5-13-14 白金台THE1000 Ｂ1F,SHIROKANEDAI,285,https://tabelog.com/en/tokyo/A1316/A131602/13264755/,"JPY 15,000～JPY 19,999",-,17500.0,10k-20k
77,FUREIKA,4.29,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B78,"" "",""+""),""+"", SUBSTITUTE(F78,"" "",""+"")), ""Link"")",CHINESE,3500.0,12500.0,東京都港区東麻布3-7-5,AZABU JUBAN,1999,https://tabelog.com/en/tokyo/A1307/A130702/13004967/,"JPY 10,000～JPY 14,999","JPY 3,000～JPY 3,999",12500.0,10k-20k
81,YAKINIKU SEIRYUUEN,4.28,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B82,"" "",""+""),""+"", SUBSTITUTE(F82,"" "",""+"")), ""Link"")",YAKINIKU (BBQ BEEF),,12500.0,東京都江東区常盤2-14-11,KIYOSUMI SHIRAKAWA,1189,https://tabelog.com/en/tokyo/A1313/A131303/13237978/,"JPY 10,000～JPY 14,999",-,12500.0,10k-20k
85,LATURE,4.27,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B86,"" "",""+""),""+"", SUBSTITUTE(F86,"" "",""+"")), ""Link"")",FRENCH,7000.0,12500.0,東京都渋谷区渋谷2-2-2 青山ルカビル B1F,OMOTE SANDO,1930,https://tabelog.com/en/tokyo/A1303/A130301/13198692/,"JPY 10,000～JPY 14,999","JPY 6,000～JPY 7,999",12500.0,10k-20k
94,UO MASA,4.25,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B95,"" "",""+""),""+"", SUBSTITUTE(F95,"" "",""+"")), ""Link"")",UNAGI (EEL),9000.0,12500.0,東京都葛飾区東四ツ木4-14-4,YOTSUGI,876,https://tabelog.com/en/tokyo/A1324/A132403/13035339/,"JPY 10,000～JPY 14,999","JPY 8,000～JPY 9,999",12500.0,10k-20k
98,SINCERE,4.25,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B99,"" "",""+""),""+"", SUBSTITUTE(F99,"" "",""+"")), ""Link"")",FRENCH,,17500.0,東京都渋谷区千駄ヶ谷3-7-13 原宿東急アパートメントＢ１,KITA SANDO,479,https://tabelog.com/en/tokyo/A1309/A130901/13194253/,"JPY 15,000～JPY 19,999",-,17500.0,10k-20k
